Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
ADAM9,flexdmg,0.0998,146157,1,0.02,306,0.00209435550658079,9.724,1.3385,70.6449
CHD5,flexdmg,0.0998,146157,2,0.04,1558,0.0106634179060552,3.8658,0.9387,15.9196
INSL6,flexdmg,0.0995,146157,1,0.02,305,0.00208751120753968,9.7559,1.3428,70.8778
IL37,flexdmg,0.0995,146157,1,0.02,305,0.00208751120753968,9.7559,1.3428,70.8778
BMP4,flexdmg,0.0995,146157,1,0.02,305,0.00208751120753968,9.7559,1.3428,70.8778
ZDHHC13,flexdmg,0.0995,146157,1,0.02,305,0.00208751120753968,9.7559,1.3428,70.8778
ARFIP2,flexdmg,0.0995,146157,1,0.02,305,0.00208751120753968,9.7559,1.3428,70.8778
VAT1L,flexdmg,0.0992,146157,1,0.02,304,0.00208066690849857,9.7881,1.3473,71.1121
PAQR7,flexdmg,0.0992,146157,1,0.02,304,0.00208066690849857,9.7881,1.3473,71.1121
PGM3,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
ZNF486,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
RECQL4,flexdmg,0.0989,146157,4,0.08,5143,0.0352002299684478,2.3834,0.8576,6.6235
GAB2,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
TCAIM,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
HSPA4,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
CD9,flexdmg,0.0989,146157,1,0.02,303,0.00207382260945745,9.8204,1.3517,71.3481
ACER1,flexdmg,0.0986,146157,1,0.02,302,0.00206697831041634,9.853,1.3562,71.5856
MNS1,flexdmg,0.0986,146157,1,0.02,302,0.00206697831041634,9.853,1.3562,71.5856
DPP6,flexdmg,0.0986,146157,1,0.02,302,0.00206697831041634,9.853,1.3562,71.5856
SYNPO2,flexdmg,0.0986,146157,1,0.02,302,0.00206697831041634,9.853,1.3562,71.5856
ZBED8,flexdmg,0.0983,146157,1,0.02,301,0.00206013401137522,9.8858,1.3607,71.8247
MGLL,flexdmg,0.0983,146157,1,0.02,301,0.00206013401137522,9.8858,1.3607,71.8247
TMX1,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
ZSCAN5B,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
NEIL2,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
SFTPA1,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
ERI2,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
AHCYL1,flexdmg,0.098,146157,1,0.02,300,0.00205328971233411,9.9188,1.3652,72.0653
C2CD2,flexdmg,0.0976,146157,1,0.02,299,0.002046445413293,9.9521,1.3698,72.3076
RXRG,flexdmg,0.0976,146157,1,0.02,299,0.002046445413293,9.9521,1.3698,72.3076
DNASE2B,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
MYOZ1,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
ASCC1,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
SFTPD,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
RNF216,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
XKRX,flexdmg,0.0973,146157,1,0.02,298,0.00203960111425188,9.9855,1.3743,72.5516
RGS20,flexdmg,0.097,146157,1,0.02,297,0.00203275681521077,10.0192,1.379,72.7971
ZNF426,flexdmg,0.0967,146157,1,0.02,296,0.00202591251616966,10.0532,1.3836,73.0444
TNFRSF6B,flexdmg,0.0967,146157,1,0.02,296,0.00202591251616966,10.0532,1.3836,73.0444
HOXA13,flexdmg,0.0967,146157,1,0.02,296,0.00202591251616966,10.0532,1.3836,73.0444
NOP2,flexdmg,0.0964,146157,1,0.02,295,0.00201906821712854,10.0873,1.3883,73.2933
LIPK,flexdmg,0.0964,146157,1,0.02,295,0.00201906821712854,10.0873,1.3883,73.2933
NRAP,flexdmg,0.0963,146157,2,0.04,1525,0.0104375560376984,3.9503,0.9592,16.2681
ARHGAP26,flexdmg,0.0961,146157,1,0.02,294,0.00201222391808743,10.1217,1.393,73.5439
DGKH,flexdmg,0.0959,146157,2,0.04,1522,0.0104170231405751,3.9582,0.9612,16.3005
TFDP2,flexdmg,0.0902,146157,1,0.02,275,0.00188218223630627,10.8224,1.4891,78.6533
SIGLEC9,flexdmg,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
AP2A1,flexdmg,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
ADORA3,flexdmg,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
HIST1H4E,flexdmg,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
GEMIN5,flexdmg,0.0897,146157,2,0.04,1462,0.0100063651981082,4.1223,1.001,16.9772
ZNF85,flexdmg,0.0896,146157,1,0.02,273,0.00186849363822404,10.9018,1.5,79.2326
NUDCD1,flexdmg,0.0896,146157,1,0.02,273,0.00186849363822404,10.9018,1.5,79.2326
CABLES2,flexdmg,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
CLIC5,flexdmg,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
PRKCD,flexdmg,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
ANXA1,flexdmg,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
PRKAR1A,flexdmg,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
CHID1,flexdmg,0.0886,146157,1,0.02,270,0.0018479607411007,11.0232,1.5167,80.1178
PIGK,flexdmg,0.0883,146157,1,0.02,269,0.00184111644205959,11.0643,1.5223,80.4173
LUZP1,flexdmg,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
COQ10A,flexdmg,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
MAL,flexdmg,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
HEMK1,flexdmg,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
HTR1E,flexdmg,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
FYCO1,flexdmg,0.0878,146157,2,0.04,1444,0.00988316781536819,4.1743,1.0136,17.1911
GFER,flexdmg,0.0877,146157,1,0.02,267,0.00182742784397736,11.1473,1.5337,81.0229
FLCN,flexdmg,0.0874,146157,2,0.04,1440,0.00985579061920373,4.186,1.0164,17.2394
ATL1,flexdmg,0.0874,146157,1,0.02,266,0.00182058354493625,11.1893,1.5394,81.3292
MRPS11,flexdmg,0.0874,146157,1,0.02,266,0.00182058354493625,11.1893,1.5394,81.3292
ZNF14,flexdmg,0.0874,146157,1,0.02,266,0.00182058354493625,11.1893,1.5394,81.3292
FUT4,flexdmg,0.0874,146157,1,0.02,266,0.00182058354493625,11.1893,1.5394,81.3292
MYH8,flexdmg,0.0873,146157,3,0.06,3059,0.0209367107667668,2.9849,0.9285,9.5953
TTC32,flexdmg,0.0871,146157,1,0.02,265,0.00181373924589513,11.2316,1.5452,81.6378
FAM118A,flexdmg,0.0871,146157,1,0.02,265,0.00181373924589513,11.2316,1.5452,81.6378
TMED6,flexdmg,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
PRSS27,flexdmg,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
GAREM2,flexdmg,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
ANKRD18A,flexdmg,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
PI16,flexdmg,0.0864,146157,1,0.02,263,0.0018000506478129,11.3171,1.5569,82.262
PENK,flexdmg,0.0864,146157,1,0.02,263,0.0018000506478129,11.3171,1.5569,82.262
METTL25,flexdmg,0.0864,146157,1,0.02,263,0.0018000506478129,11.3171,1.5569,82.262
TMUB2,flexdmg,0.0861,146157,1,0.02,262,0.00179320634877179,11.3604,1.5629,82.5777
C7ORF61,flexdmg,0.0861,146157,1,0.02,262,0.00179320634877179,11.3604,1.5629,82.5777
LYPD3,flexdmg,0.0861,146157,1,0.02,262,0.00179320634877179,11.3604,1.5629,82.5777
MDP1,flexdmg,0.0861,146157,1,0.02,262,0.00179320634877179,11.3604,1.5629,82.5777
SBF1,flexdmg,0.086,146157,3,0.06,3040,0.0208066690849857,3.0039,0.9345,9.6565
ARFGEF2,flexdmg,0.0859,146157,2,0.04,1425,0.00975312613358703,4.2305,1.0272,17.4229
SELENOS,flexdmg,0.0858,146157,1,0.02,261,0.00178636204973068,11.404,1.5689,82.8959
HSPB7,flexdmg,0.0858,146157,1,0.02,261,0.00178636204973068,11.404,1.5689,82.8959
FCRLB,flexdmg,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
FOSL2,flexdmg,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
MED8,flexdmg,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
HTR6,flexdmg,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
GLT8D2,flexdmg,0.0852,146157,1,0.02,259,0.00177267345164845,11.4922,1.5809,83.5395
CLBA1,flexdmg,0.0852,146157,1,0.02,259,0.00177267345164845,11.4922,1.5809,83.5395
MYH4,flexdmg,0.0851,146157,3,0.06,3026,0.0207108488984101,3.0181,0.9389,9.7022
VPS37C,flexdmg,0.0846,146157,1,0.02,257,0.00175898485356622,11.5818,1.5932,84.1932
BIRC2,flexdmg,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
GAB4,flexdmg,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
CADM3,flexdmg,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
CT62,flexdmg,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
GTF2E1,flexdmg,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
SNCG,flexdmg,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
HIST1H2BO,flexdmg,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
NOL11,flexdmg,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
CHST2,flexdmg,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
CACFD1,flexdmg,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
RFX1,flexdmg,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
TMEM63C,flexdmg,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
PLXNA2,flexdmg,0.0835,146157,2,0.04,1402,0.00959570725564141,4.3006,1.0442,17.7118
FNIP2,flexdmg,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
GNAZ,flexdmg,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
DUSP12,flexdmg,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
TRAPPC1,flexdmg,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
SPACA9,flexdmg,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
PSMD12,flexdmg,0.083,146157,1,0.02,252,0.00172476335836065,11.812,1.6248,85.8731
LNPK,flexdmg,0.083,146157,1,0.02,252,0.00172476335836065,11.812,1.6248,85.8731
GREB1,flexdmg,0.0829,146157,2,0.04,1396,0.00955464146139473,4.3192,1.0487,17.7887
NMRK2,flexdmg,0.0827,146157,1,0.02,251,0.00171791905931954,11.8592,1.6312,86.2171
EFCAB12,flexdmg,0.0827,146157,1,0.02,251,0.00171791905931954,11.8592,1.6312,86.2171
C9ORF43,flexdmg,0.0824,146157,1,0.02,250,0.00171107476027843,11.9067,1.6377,86.5639
POP7,flexdmg,0.0824,146157,1,0.02,250,0.00171107476027843,11.9067,1.6377,86.5639
MKRN2,flexdmg,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
OXNAD1,flexdmg,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
SCMH1,flexdmg,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
RMDN3,flexdmg,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
GOLGA5,flexdmg,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
MARCH6,flexdmg,0.0814,146157,1,0.02,247,0.00169054186315508,12.0516,1.6576,87.6212
CETN1,flexdmg,0.0814,146157,1,0.02,247,0.00169054186315508,12.0516,1.6576,87.6212
TAL1,flexdmg,0.0811,146157,1,0.02,246,0.00168369756411397,12.1006,1.6643,87.9794
PLA2G6,flexdmg,0.0808,146157,2,0.04,1375,0.00941091118153134,4.3858,1.0649,18.0633
SAGE1,flexdmg,0.0808,146157,1,0.02,245,0.00167685326507286,12.1501,1.6711,88.3405
RHBDD3,flexdmg,0.0808,146157,1,0.02,245,0.00167685326507286,12.1501,1.6711,88.3405
RNF103,flexdmg,0.0808,146157,1,0.02,245,0.00167685326507286,12.1501,1.6711,88.3405
NUP43,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
IL20,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
ZNF90,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
PSTK,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
JAKMIP2,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
SLC14A1,flexdmg,0.0802,146157,1,0.02,243,0.00166316466699063,12.2503,1.6848,89.0717
NTRK1,flexdmg,0.0801,146157,2,0.04,1368,0.00936300108824355,4.4085,1.0704,18.1567
PRKN,flexdmg,0.0799,146157,2,0.04,1366,0.00934931249016132,4.415,1.072,18.1835
PSME2,flexdmg,0.0783,146157,1,0.02,237,0.00162209887274395,12.5609,1.7274,91.3397
TSSC4,flexdmg,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
IFI35,flexdmg,0.0776,146157,1,0.02,235,0.00160841027466172,12.668,1.742,92.1215
GPR179,flexdmg,0.0776,146157,2,0.04,1343,0.0091918936122157,4.4913,1.0905,18.4982
DUSP18,flexdmg,0.0773,146157,1,0.02,234,0.00160156597562061,12.7222,1.7495,92.5175
TOM1L1,flexdmg,0.0773,146157,1,0.02,234,0.00160156597562061,12.7222,1.7495,92.5175
FCHO2,flexdmg,0.077,146157,1,0.02,233,0.00159472167657949,12.7769,1.7569,92.9168
PCBP4,flexdmg,0.0767,146157,1,0.02,232,0.00158787737753838,12.8321,1.7645,93.3196
DLX4,flexdmg,0.0767,146157,1,0.02,232,0.00158787737753838,12.8321,1.7645,93.3196
DLX3,flexdmg,0.0767,146157,1,0.02,232,0.00158787737753838,12.8321,1.7645,93.3196
C18ORF25,flexdmg,0.0764,146157,1,0.02,231,0.00158103307849727,12.8877,1.7721,93.726
GRK2,flexdmg,0.0764,146157,1,0.02,231,0.00158103307849727,12.8877,1.7721,93.726
SDK1,flexdmg,0.0762,146157,3,0.06,2884,0.0197389584345719,3.1699,0.986,10.1903
ZNF267,flexdmg,0.0761,146157,1,0.02,230,0.00157418877945615,12.9438,1.7798,94.1358
GPATCH4,flexdmg,0.0761,146157,1,0.02,230,0.00157418877945615,12.9438,1.7798,94.1358
RLN3,flexdmg,0.0761,146157,1,0.02,230,0.00157418877945615,12.9438,1.7798,94.1358
METAP2,flexdmg,0.0761,146157,1,0.02,230,0.00157418877945615,12.9438,1.7798,94.1358
MACO1,flexdmg,0.0761,146157,1,0.02,230,0.00157418877945615,12.9438,1.7798,94.1358
CACNA1G,flexdmg,0.0759,146157,3,0.06,2879,0.0197047369393664,3.1755,0.9878,10.2083
GLOD4,flexdmg,0.0757,146157,1,0.02,229,0.00156734448041504,13.0004,1.7876,94.5493
STAMBP,flexdmg,0.0757,146157,1,0.02,229,0.00156734448041504,13.0004,1.7876,94.5493
HELZ,flexdmg,0.0755,146157,2,0.04,1322,0.00904816333235232,4.5633,1.1079,18.7951
REEP2,flexdmg,0.0754,146157,1,0.02,228,0.00156050018137392,13.0576,1.7954,94.9664
ZNF510,flexdmg,0.0754,146157,1,0.02,228,0.00156050018137392,13.0576,1.7954,94.9664
C8ORF88,flexdmg,0.0754,146157,1,0.02,228,0.00156050018137392,13.0576,1.7954,94.9664
SLC8A3,flexdmg,0.0751,146157,2,0.04,1318,0.00902078613618786,4.5773,1.1113,18.8527
ZNF714,flexdmg,0.0748,146157,1,0.02,226,0.0015468115832917,13.1733,1.8112,95.8117
MTHFS,flexdmg,0.0748,146157,1,0.02,226,0.0015468115832917,13.1733,1.8112,95.8117
CNGA2,flexdmg,0.0748,146157,2,0.04,1315,0.00900025323906452,4.5878,1.1139,18.8961
ZMYND11,flexdmg,0.0748,146157,1,0.02,226,0.0015468115832917,13.1733,1.8112,95.8117
OLIG1,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
CNOT3,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
SDE2,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
RFXANK,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
INAVA,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
LRRC41,flexdmg,0.0745,146157,1,0.02,225,0.00153996728425058,13.2319,1.8192,96.24
PLAUR,flexdmg,0.0742,146157,1,0.02,224,0.00153312298520947,13.2911,1.8273,96.6722
ZFYVE21,flexdmg,0.0742,146157,1,0.02,224,0.00153312298520947,13.2911,1.8273,96.6722
LOXL1,flexdmg,0.0742,146157,1,0.02,224,0.00153312298520947,13.2911,1.8273,96.6722
CUEDC1,flexdmg,0.0742,146157,1,0.02,224,0.00153312298520947,13.2911,1.8273,96.6722
NFIC,flexdmg,0.0742,146157,1,0.02,224,0.00153312298520947,13.2911,1.8273,96.6722
DEPP1,flexdmg,0.0738,146157,1,0.02,223,0.00152627868616836,13.3508,1.8355,97.1082
NDRG1,flexdmg,0.0738,146157,1,0.02,223,0.00152627868616836,13.3508,1.8355,97.1082
BCL7C,flexdmg,0.0738,146157,1,0.02,223,0.00152627868616836,13.3508,1.8355,97.1082
ATP5PO,flexdmg,0.0735,146157,1,0.02,222,0.00151943438712724,13.411,1.8438,97.5482
SIPA1L1,flexdmg,0.0735,146157,2,0.04,1301,0.00890443305248893,4.6377,1.126,19.1015
GSTK1,flexdmg,0.0735,146157,1,0.02,222,0.00151943438712724,13.411,1.8438,97.5482
TBC1D23,flexdmg,0.0732,146157,1,0.02,221,0.00151259008808613,13.4718,1.8521,97.9922
PSMD8,flexdmg,0.0732,146157,1,0.02,221,0.00151259008808613,13.4718,1.8521,97.9922
STN1,flexdmg,0.0729,146157,1,0.02,220,0.00150574578904502,13.5331,1.8605,98.4403
TTC9C,flexdmg,0.0729,146157,1,0.02,220,0.00150574578904502,13.5331,1.8605,98.4403
FGFBP1,flexdmg,0.0729,146157,1,0.02,220,0.00150574578904502,13.5331,1.8605,98.4403
TMEM199,flexdmg,0.0729,146157,1,0.02,220,0.00150574578904502,13.5331,1.8605,98.4403
GCNT1,flexdmg,0.0958,146157,1,0.02,293,0.00200537961904632,10.1563,1.3978,73.7963
ASCC2,flexdmg,0.0955,146157,1,0.02,292,0.0019985353200052,10.1912,1.4026,74.0503
SLC25A37,flexdmg,0.0955,146157,1,0.02,292,0.0019985353200052,10.1912,1.4026,74.0503
MXD3,flexdmg,0.0952,146157,1,0.02,291,0.00199169102096409,10.2262,1.4074,74.3062
SEC63,flexdmg,0.0949,146157,1,0.02,290,0.00198484672192297,10.2616,1.4122,74.5638
TARBP2,flexdmg,0.0949,146157,1,0.02,290,0.00198484672192297,10.2616,1.4122,74.5638
SAR1B,flexdmg,0.0946,146157,1,0.02,289,0.00197800242288186,10.2972,1.4171,74.8231
CCKAR,flexdmg,0.0946,146157,1,0.02,289,0.00197800242288186,10.2972,1.4171,74.8231
PKN2,flexdmg,0.0942,146157,1,0.02,288,0.00197115812384075,10.333,1.422,75.0843
CD37,flexdmg,0.0939,146157,1,0.02,287,0.00196431382479963,10.3691,1.427,75.3474
SH3RF1,flexdmg,0.0939,146157,1,0.02,287,0.00196431382479963,10.3691,1.427,75.3474
SYT9,flexdmg,0.0939,146157,1,0.02,287,0.00196431382479963,10.3691,1.427,75.3474
MRPS26,flexdmg,0.0936,146157,1,0.02,286,0.00195746952575852,10.4054,1.4319,75.6122
PHACTR4,flexdmg,0.0936,146157,1,0.02,286,0.00195746952575852,10.4054,1.4319,75.6122
CACNA1A,flexdmg,0.0934,146157,3,0.06,3152,0.0215732305775904,2.8949,0.9006,9.3059
NSUN4,flexdmg,0.0933,146157,1,0.02,285,0.00195062522671741,10.442,1.437,75.8789
GSDME,flexdmg,0.093,146157,1,0.02,284,0.00194378092767629,10.4788,1.442,76.1476
ATXN1,flexdmg,0.0928,146157,2,0.04,1492,0.0102116941693416,4.0386,0.9807,16.632
FJX1,flexdmg,0.0927,146157,1,0.02,283,0.00193693662863518,10.5159,1.4471,76.4181
MZF1,flexdmg,0.0924,146157,1,0.02,282,0.00193009232959406,10.5533,1.4522,76.6905
CPSF3,flexdmg,0.0924,146157,1,0.02,282,0.00193009232959406,10.5533,1.4522,76.6905
TM9SF4,flexdmg,0.0921,146157,1,0.02,281,0.00192324803055295,10.5909,1.4574,76.9649
DLAT,flexdmg,0.0918,146157,1,0.02,280,0.00191640373151184,10.6288,1.4626,77.2413
HYAL2,flexdmg,0.0918,146157,1,0.02,280,0.00191640373151184,10.6288,1.4626,77.2413
SHC4,flexdmg,0.0914,146157,1,0.02,279,0.00190955943247072,10.667,1.4678,77.5196
CLPTM1,flexdmg,0.0914,146157,1,0.02,279,0.00190955943247072,10.667,1.4678,77.5196
SMG9,flexdmg,0.0911,146157,1,0.02,278,0.00190271513342961,10.7054,1.4731,77.8
TMEM114,flexdmg,0.0911,146157,1,0.02,278,0.00190271513342961,10.7054,1.4731,77.8
CSTB,flexdmg,0.0911,146157,1,0.02,278,0.00190271513342961,10.7054,1.4731,77.8
ZNF576,flexdmg,0.0908,146157,1,0.02,277,0.0018958708343885,10.7441,1.4784,78.0823
LCN6,flexdmg,0.0908,146157,1,0.02,277,0.0018958708343885,10.7441,1.4784,78.0823
CBLN3,flexdmg,0.0905,146157,1,0.02,276,0.00188902653534738,10.7831,1.4837,78.3668
MRPL41,flexdmg,0.0905,146157,1,0.02,276,0.00188902653534738,10.7831,1.4837,78.3668
FAM43A,flexdmg,0.0905,146157,1,0.02,276,0.00188902653534738,10.7831,1.4837,78.3668
STK33,flexdmg,0.0902,146157,1,0.02,275,0.00188218223630627,10.8224,1.4891,78.6533
EZH1,flexdmg,0.0902,146157,1,0.02,275,0.00188218223630627,10.8224,1.4891,78.6533
MRPL28,flexdmg,0.0729,146157,1,0.02,220,0.00150574578904502,13.5331,1.8605,98.4403
USP49,flexdmg,0.0726,146157,1,0.02,219,0.0014989014900039,13.595,1.8689,98.8925
LILRB2,flexdmg,0.0722,146157,1,0.02,218,0.00149205719096279,13.6575,1.8775,99.3488
THPO,flexdmg,0.0719,146157,1,0.02,217,0.00148521289192167,13.7205,1.8861,99.8093
SCN9A,flexdmg,0.0719,146157,3,0.06,2814,0.019259857501694,3.2503,1.0111,10.449
PARP10,flexdmg,0.0719,146157,1,0.02,217,0.00148521289192167,13.7205,1.8861,99.8093
TPD52L1,flexdmg,0.0716,146157,1,0.02,216,0.00147836859288056,13.7841,1.8948,100.2742
ODF2L,flexdmg,0.0716,146157,1,0.02,216,0.00147836859288056,13.7841,1.8948,100.2742
FKBP6,flexdmg,0.0716,146157,1,0.02,216,0.00147836859288056,13.7841,1.8948,100.2742
KCNJ6,flexdmg,0.0716,146157,1,0.02,216,0.00147836859288056,13.7841,1.8948,100.2742
JMJD6,flexdmg,0.0713,146157,1,0.02,215,0.00147152429383945,13.8483,1.9036,100.7434
DNAH12,flexdmg,0.0713,146157,1,0.02,215,0.00147152429383945,13.8483,1.9036,100.7434
LDLRAD2,flexdmg,0.071,146157,1,0.02,214,0.00146467999479833,13.9131,1.9125,101.217
COMMD9,flexdmg,0.071,146157,1,0.02,214,0.00146467999479833,13.9131,1.9125,101.217
CHN1,flexdmg,0.071,146157,1,0.02,214,0.00146467999479833,13.9131,1.9125,101.217
FAM19A5,flexdmg,0.0707,146157,1,0.02,213,0.00145783569575722,13.9785,1.9214,101.695
PELO,flexdmg,0.0703,146157,1,0.02,212,0.00145099139671611,14.0446,1.9305,102.1776
PPIC,flexdmg,0.0703,146157,1,0.02,212,0.00145099139671611,14.0446,1.9305,102.1776
FAM47C,flexdmg,0.0703,146157,1,0.02,212,0.00145099139671611,14.0446,1.9305,102.1776
ZNF33B,flexdmg,0.0697,146157,1,0.02,210,0.00143730279863388,14.1785,1.9488,103.1566
FAM71F2,flexdmg,0.0697,146157,1,0.02,210,0.00143730279863388,14.1785,1.9488,103.1566
GLUL,flexdmg,0.0694,146157,1,0.02,209,0.00143045849959276,14.2465,1.9581,103.6532
PPARG,flexdmg,0.0694,146157,1,0.02,209,0.00143045849959276,14.2465,1.9581,103.6532
DNAJC7,flexdmg,0.0694,146157,1,0.02,209,0.00143045849959276,14.2465,1.9581,103.6532
IFT122,flexdmg,0.0692,146157,2,0.04,1257,0.00860328389467993,4.8014,1.1657,19.7769
LAMP5,flexdmg,0.0691,146157,1,0.02,208,0.00142361420055165,14.3151,1.9675,104.1545
SLC39A13,flexdmg,0.0691,146157,1,0.02,208,0.00142361420055165,14.3151,1.9675,104.1545
NET1,flexdmg,0.0691,146157,1,0.02,208,0.00142361420055165,14.3151,1.9675,104.1545
GINS2,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
OR8B4,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
MALT1,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
ARCN1,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
FLOT1,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
KAT8,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
ST20-MTHFS,flexdmg,0.0687,146157,1,0.02,207,0.00141676990151054,14.3843,1.9769,104.6608
DIS3,flexdmg,0.0685,146157,2,0.04,1249,0.00854852950235102,4.8325,1.1732,19.9048
MLIP,flexdmg,0.0684,146157,1,0.02,206,0.00140992560246942,14.4542,1.9865,105.1719
